Departamento;Municipio;EstadoVictima;AnoHecho;MesOCurrencia;DiaOcurrencia;TipoVehiculoGrupo;TipoServicio;CondicionVictima;ActorVial;UsuarioVia;Zona;ObjetoColision;EsCapital;Rango3horas;Rango6horas;Sexo;RangoEdad;EstadoVia;ActividadVictima;CausaMuerte;ClaseAccidente;CondicionLugar;Hipotesis;DiagnosticoTopografico;Muerte30Dias;TipoRegistro;TotalRegistros
LA GUAJIRA;MAICAO;MUERTOS;2024;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE INDIVIDUAL;NO;12:00 A 14:59;12:00 A 17:59;HOMBRE;[10,15);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;PALMIRA;MUERTOS;2025;01.ENERO;5.VIERNES;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;MOTOCICLETA;NO;-1;-1;HOMBRE;[50,55);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;LANDAZURI;MUERTOS;2026;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;MOTOCICLETA;NO;-1;-1;HOMBRE;[35,40);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CASANARE;YOPAL;MUERTOS;2026;03.MARZO;7.DOMINGO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;MOTOCICLETA;SI;-1;-1;MUJER;[50,55);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;CIMITARRA;MUERTOS;2023;02.FEBRERO;5.VIERNES;TRANSPORTE DE CARGA;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO T.CARGA;RURAL;SIN INFO.;NO;-1;-1;MUJER;[00,05);CON HUECOS;SIN INFORMACIÓN;CONTUNDENTE;SIN INFORMACIÓN;NORMAL;SIN INFORMACIÓN;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CARTAGO;MUERTOS;2021;03.MARZO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;21:00 A 23:59;18:00 A 23:59;HOMBRE;[25,30);BUENO;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;SAN PELAYO;MUERTOS;2022;01.ENERO;6.SÁBADO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;15:00 A 17:59;12:00 A 17:59;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;FLANDES;MUERTOS;2022;03.MARZO;7.DOMINGO;OTRAS MOTOS;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;12:00 A 14:59;12:00 A 17:59;HOMBRE;[65,70);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;SESQUILE;MUERTOS;2021;02.FEBRERO;1.LUNES;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;SIN INFORMACIÓN;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[55,60);BUENO;OTRA;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;ALVARADO;MUERTOS;2023;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[70,75);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2025;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[65,70);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;MEDELLIN;MUERTOS;2025;02.FEBRERO;4.JUEVES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;15:00 A 17:59;12:00 A 17:59;HOMBRE;[90,95);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CALI;MUERTOS;2022;01.ENERO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;03:00 A 05:59;00:00 A 05:59;HOMBRE;[80,85);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
HUILA;NEIVA;MUERTOS;2021;02.FEBRERO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE DE CARGA;SI;-1;-1;HOMBRE;[55,60);SIN INFORMACIÓN;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;MOSQUERA;MUERTOS;2021;03.MARZO;3.MIÉRCOLES;NA;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;URBANA;SIN INFO.;NO;-1;-1;HOMBRE;[50,55);0;SIN INFORMACIÓN;CONTUNDENTE;SIN INFORMACIÓN;0;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
